score,s0,s1,seed,spawn,marsh_n,marsh_d,paper4_n,paper_d,head_d,head,coal_n,coal_d,clay_d,gravel_d
907.6080626758023,396.0,511.6080626758023,-7079420705678771091,"22,-58",26,190,6,125,197,Bronze Shovel Head,0,,45,3
912.6227483858586,346.0,566.6227483858586,-6090836645231485813,"209,25",0,,2,29,26,Bone Shovel Head,0,,203,7
913.7886170375996,291.0,622.7886170375996,-9043736648462449445,"7,-7",0,,1,56,55,Bone Axe Head,0,,87,1
914.7081226124623,513.0,401.70812261246226,-3873226014923802941,"-56,12",7,216,1,113,72,Flint Shovel Head,8,171,,4
914.7103516784264,471.0,443.71035167842643,8879001618622963452,"-34,76",32,183,2,116,145,Stone Shovel Head,28,98,111,7
915.1405561937916,235.0,680.1405561937916,7807626734732344893,"-7,25",30,85,1,83,,,0,,224,1
927.258079404518,247.0,680.258079404518,-2254506781601596960,"34,22",0,,7,34,134,Pig Iron Shovel Head,29,61,162,6
927.4559957765716,523.0,404.45599577657157,-9090382374393439166,"-21,85",24,153,1,148,103,Flint Axe Head,0,,316,4
930.374476961766,466.0,464.374476961766,97465460191713448,"-40,-75",23,208,6,129,127,Pig Iron Shovel Head,63,138,82,3
931.1787155501902,282.0,649.1787155501902,-1699661591520011886,"-49,-23",0,,1,71,66,Bone Shovel Head,12,99,127,7
932.9582024907263,454.0,478.95820249072636,3758913329942169677,"0,0",2,254,1,110,115,Stone Axe Head,0,,41,11
944.4868895288223,542.0,402.48688952882225,2842557266760280292,"73,2",33,179,1,110,114,Flint Shovel Head,9,187,154,6
948.96936588308,247.0,701.96936588308,-8129730171430563803,"-104,-216",0,,1,86,104,Stone Shovel Head,0,,36,0
949.8568802181455,454.0,495.85688021814553,-3178433070289807993,"75,29",1,234,1,138,124,Bone Axe Head,10,159,41,6
954.3184637102073,279.0,675.3184637102073,-5948802575186650791,"0,0",0,,1,76,87,Bone Shovel Head,0,,41,11
967.935544828736,272.0,695.935544828736,-2672910028386462298,"44,39",0,,1,75,109,Flint Axe Head,0,,48,4
970.1420499143611,382.0,588.1420499143611,-3627195549899553281,"4,137",0,,1,53,23,Stone Shovel Head,0,,332,4
971.457875450654,249.0,722.457875450654,3784964002270170108,"-120,122",0,,6,27,183,Iron Axe Head,8,218,152,2
972.2005313338768,504.0,468.20053133387677,6572281498440243579,"0,0",32,150,1,173,145,Flint Shovel Head,0,,69,11
976.2599632092117,208.0,768.2599632092117,-3091061312794574247,"19,86",1,220,1,36,,,0,,133,5
992.6760889321281,359.0,633.6760889321281,-668087893703034647,"200,19",0,,1,45,77,Flint Shovel Head,0,,,5
992.9589441031353,322.0,670.9589441031353,-1214104336670933034,"70,-116",0,,4,85,74,Bone Shovel Head,21,57,120,4
993.8997154870981,306.0,687.8997154870981,5061013762026497798,"-27,-82",0,,1,109,66,Flint Axe Head,0,,26,7
999.0009358961538,365.0,634.0009358961538,433220285626117825,"22,120",0,,4,68,54,Obsidian Shovel Head,9,96,30,2
1004.5270209477973,449.0,555.5270209477973,785582999258997752,"25,1",0,,8,26,18,Iron Shovel Head,8,64,271,7
1012.8452971921962,301.0,711.8452971921962,-1181858787884831650,"-36,-9",27,155,1,44,,,0,,83,4
1016.7234968123541,330.0,686.7234968123541,3459082007730224561,"0,0",0,,1,84,91,Bone Axe Head,0,,57,11
1017.5452240275046,376.0,641.5452240275046,-3349337966872941073,"-40,32",0,,2,57,73,Flint Shovel Head,13,237,98,8
1021.4147748422233,220.0,801.4147748422233,-3512397967423374803,"-2,70",0,,4,23,266,Queen's Gold Axe Head,0,,66,6
1021.6064657091596,377.0,644.6064657091596,-5019553760364625880,"-254,-442",0,,5,59,74,Stone Axe Head,20,188,82,6
1021.8254405882428,554.0,467.8254405882428,-2085025852757681018,"8,0",21,206,2,154,108,Stone Shovel Head,16,233,62,8
1029.4326694228293,566.0,463.4326694228294,1727762806033662417,"92,-62",1,229,1,139,96,Stone Shovel Head,0,,304,7
1049.4431161637979,373.0,676.4431161637979,-6628722011521947679,"31,-16",38,83,1,81,,,22,61,121,11
1049.7770775425279,590.0,459.777077542528,132736365098201445,"-20,108",1,235,2,112,112,Stone Axe Head,37,95,268,6
1055.6722941743483,318.0,737.6722941743483,4623555268818277790,"15,52",6,169,1,57,,,0,,106,8
1060.990810569785,364.0,696.9908105697851,7604929432517717970,"97,-5",0,,4,103,82,Stone Shovel Head,0,,94,8
1062.0385869236197,500.0,562.0385869236198,-8393348960612291546,"222,174",29,261,1,171,130,Stone Axe Head,0,,71,8
1064.1463558063947,381.0,683.1463558063947,-1412727902844157337,"155,-75",0,,3,110,61,Bone Shovel Head,0,,61,4
1069.3304204843253,322.0,747.3304204843253,3317902793191877312,"63,-260",0,,1,128,107,Stone Axe Head,0,,228,8
1069.6536594953902,457.0,612.6536594953902,6715717039888344589,"0,0",0,,3,68,33,Iron Shovel Head,8,71,25,11
1070.239036645209,304.0,766.2390366452089,957761555640769763,"178,-115",0,,5,51,203,Cactus Shovel Head,32,84,62,8
1074.2803120500444,366.0,708.2803120500442,-6577442869455283739,"-247,222",0,,1,94,102,Flint Axe Head,0,,53,6
1077.9879595301932,378.0,699.9879595301933,3477012477214603966,"86,-224",4,112,0,,76,Bone Shovel Head,24,109,203,8
1078.9757332164909,388.0,690.9757332164909,7727977937844126116,"128,-68",0,,4,103,76,Stone Axe Head,8,123,160,9
1086.426108494057,426.0,660.426108494057,3183052859040601153,"125,89",0,,1,90,58,Flint Shovel Head,13,97,77,5
1089.1553189146525,324.0,765.1553189146525,2194269076478155646,"29,88",29,166,1,88,,,15,104,64,5
1090.4186998109665,543.0,547.4186998109665,-2520098908504139614,"85,-4",25,211,8,141,196,Wooden Shovel Head,34,244,74,5
1090.5967586748927,419.0,671.5967586748927,-8263980794945076032,"-15,6",0,,1,101,59,Bone Shovel Head,0,,90,7
1095.27032978809,383.0,712.2703297880901,8097567181672421242,"-9,27",0,,1,108,93,Flint Axe Head,0,,96,3
1103.6235501300953,357.0,746.6235501300953,-3061590208137797516,"122,75",0,,3,94,141,Obsidian Axe Head,50,143,14,4
1105.828189638466,396.0,709.8281896384659,5130310843447102086,"-287,-156",0,,1,122,76,Flint Axe Head,0,,57,8
1112.734206000194,329.0,783.734206000194,6875251280777354137,"-122,30",3,251,1,21,,,0,,28,6
1118.339866541724,365.0,753.339866541724,4657813734635134201,"-39,144",0,,1,134,108,Flint Shovel Head,0,,76,8
1118.5491688462264,430.0,688.5491688462264,2258919710229114004,"-51,32",0,,1,95,82,Flint Axe Head,0,,72,9
1121.3691314777184,402.0,719.3691314777183,2364409600484208513,"141,-40",0,,1,124,84,Bone Axe Head,14,90,191,5
1126.9580387367273,384.0,742.9580387367274,-2034873901658503258,"-360,189",0,,1,127,104,Flint Shovel Head,11,73,32,5
1129.9007760486866,440.0,689.9007760486867,3382589324261269809,"92,39",0,,1,103,75,Flint Shovel Head,0,,51,4
1134.351140572674,411.0,723.3511405726739,2085572292553304855,"-35,46",0,,5,103,108,Stone Shovel Head,8,220,40,8
1135.5352703753647,422.0,713.5352703753647,3680805092322817066,"-157,-91",0,,1,83,118,Flint Axe Head,0,,235,6
1137.5732289045823,617.0,520.5732289045823,1554546834256292446,"-102,144",29,139,2,186,195,Bronze Axe Head,0,,131,8
1138.637263353113,634.0,504.6372633531129,-6675699021395883023,"-61,40",12,241,1,137,127,Stone Shovel Head,0,,156,5
1139.2498137364532,514.0,625.2498137364532,309756962537106576,"0,0",0,,5,66,48,Queen's Gold Axe Head,23,85,91,11
1141.9033628330765,600.0,541.9033628330765,8840990265963163195,"-16,118",2,241,1,146,155,Flint Shovel Head,0,,56,8
1146.517629332649,454.0,692.5176293326489,-4599717550210241185,"-102,100",26,116,1,65,,,0,,136,4
1149.6556507696464,440.0,709.6556507696465,7602496086664269545,"35,-226",0,,1,95,103,Bone Axe Head,0,,155,8
1151.3139620219526,457.0,694.3139620219526,-7925353409222242073,"41,10",4,62,0,,120,Bone Shovel Head,26,162,49,2
1153.629222205972,443.0,710.6292222059719,-416671982154611597,"110,3",0,,6,109,90,Stone Axe Head,0,,69,8
1154.7391164438313,452.0,702.7391164438312,3470868862039590631,"153,54",0,,1,116,75,Bone Shovel Head,14,103,88,2
1155.1075067378547,337.0,818.1075067378548,-5854433657314222617,"-31,5",0,,3,88,218,Iron Axe Head,26,113,268,8
1156.4837097112293,405.0,751.4837097112293,6964236371200903778,"-220,-30",0,,1,130,110,Bone Shovel Head,0,,,7
1159.119500893172,451.0,708.119500893172,7553785014469340947,"-31,47",0,,1,102,94,Stone Axe Head,22,155,70,10
1159.4024059103754,429.0,730.4024059103753,-2651780899426646284,"135,63",20,106,0,,112,Stone Shovel Head,0,,39,7
1165.1795680170967,469.0,696.1795680170966,-3482186943694914413,"49,49",0,,1,78,106,Bone Shovel Head,0,,136,10
1167.8302382442864,408.0,759.8302382442864,-2599597500219695677,"0,0",26,135,1,113,,,0,,47,11
1170.2098856027476,506.0,664.2098856027476,689373590252765326,"-109,20",4,102,3,278,284,Flint Shovel Head,13,254,96,6
1172.3682959238618,419.0,753.3682959238619,8849105399004068558,"-10,-25",0,,1,120,121,Flint Axe Head,0,,103,2
1177.8483459194485,465.0,712.8483459194487,-8845246017642153139,"51,-57",0,,1,113,88,Obsidian Axe Head,15,178,163,5
1177.911663905466,433.0,744.9116639054658,7443772456272185177,"0,0",0,,1,110,123,Flint Shovel Head,0,,57,11
1178.4277133841142,438.0,740.4277133841141,-9109487739304392476,"118,-75",7,77,0,,151,Stone Axe Head,0,,288,4
1184.2230179075411,424.0,760.2230179075411,1823070071198845942,"-7,-17",0,,7,96,152,Iron Axe Head,21,115,135,7
1187.7865297986432,441.0,746.7865297986432,-4977495789304942362,"-97,-11",46,147,1,88,,,0,,119,8
1193.685601540195,411.0,782.6856015401951,-2847260958275989006,"-87,13",0,,1,164,106,Flint Axe Head,0,,86,5
1197.7619716858949,402.0,795.7619716858948,1220581890487800183,"-17,-1",0,,1,120,164,Stone Axe Head,0,,42,10
1198.1056788118171,365.0,833.1056788118171,-7033227874406321599,"93,62",1,234,0,,87,Bone Axe Head,0,,229,8
1198.5372477117487,419.0,779.5372477117487,-7306029549907584475,"80,3",27,181,1,87,,,13,89,48,9
1205.2607840936653,398.0,807.2607840936653,2308126046207406504,"-358,319",0,,3,215,80,Flint Shovel Head,0,,63,7
1205.427732693809,495.0,710.4277326938089,8236267025565327914,"25,88",0,,2,103,96,Flint Shovel Head,8,131,72,1
1209.934764105557,473.0,736.9347641055568,4578628401881477093,"48,-59",0,,1,110,115,Flint Axe Head,0,,105,9
1210.5281952800985,453.0,757.5281952800985,-4193285200340032578,"-73,17",0,,2,139,106,Stone Axe Head,0,,57,7
1212.5269585396186,480.0,732.5269585396186,7165267512773196825,"-128,73",22,103,1,118,,,0,,75,8
1213.0321629655616,514.0,699.0321629655616,-6486536035355598897,"0,0",1,79,1,108,,,0,,69,11
1214.1217364364968,429.0,785.1217364364968,-8612942506443998187,"-71,110",29,135,1,139,,,0,,50,6
1215.3356960021065,459.0,756.3356960021066,-3392138187351865884,"0,0",0,,2,119,126,Flint Axe Head,27,186,25,11
1216.2999489095423,450.0,766.2999489095423,1245561901423442807,"95,184",0,,1,120,134,Flint Axe Head,0,,49,7
