rank_in_stream,seed,score,uncapped,roguelike_chests,village_chests
3140,7701390153756963415,216086,219886,495,26
3141,-8728565442002681367,141898,142798,438,35
3142,-1481666472687684519,241920,275220,495,42
3143,-8157695378603107617,134463,138863,378,26
3144,3257788161180588650,300060,305260,665,29
3145,7198253109198535168,154716,155616,421,8
3146,8398998387210200088,233599,236899,555,28
3147,-5848190492423396258,303904,318704,642,28
3148,8937131851064764256,157823,160923,459,42
3149,-3212688035874480602,276762,281862,700,52
3150,-6796258289738360126,316005,321505,706,66
3151,3611987731643614350,211927,216527,517,50
3152,-3839139696761883418,310486,314786,613,69
3153,-4602909140050408363,247582,250982,545,13
3154,-8935587760356095389,202439,204939,453,38
3155,6627839235682960880,187740,189840,440,40
3156,-2022257218564707387,153933,157933,449,22
3157,454420180910168679,252136,257136,588,58
3158,7784237389196618700,188406,191106,499,18
3159,5116591140059895882,199865,203165,433,21
3160,-1129500494283297200,277015,281815,655,17
3161,-2493230267464242126,194873,199173,512,10
3162,-645863653772355689,159457,161057,353,41
3163,-370882518652631822,199231,207431,516,41
3164,9023381321880478072,174867,177267,411,32
3165,6660719556231505034,256412,260612,517,55
3166,-2358699725342467481,212597,216597,550,41
3167,-3402388298423458237,200533,203333,519,35
3168,9080301040905460887,234687,259587,547,31
3169,5004758205952379649,194436,198236,479,52
3170,301963874145006263,227433,231933,570,18
3171,460958225288689698,252837,266037,569,52
3172,7647891999386461371,249070,258670,751,42
3173,-8448201683122387656,169410,171310,456,45
3174,280299669033158342,246248,260148,500,18
3175,-1428094729391588300,267452,270952,628,52
3176,-4615151788603950369,212284,214984,454,52
3177,4217349966653382857,231073,234473,470,45
3178,521711486442055354,240478,243778,585,34
3179,7753025264020446020,222705,235405,525,40
3180,-2873613776305296531,90920,91820,332,20
3181,4281452321335703933,269736,274836,589,40
3182,3278660727727251064,246783,261383,481,29
3183,-7784418682277998706,258271,263171,631,37
3184,9013601759608198049,233235,235735,533,11
3185,-3914603789806777014,237429,240829,569,46
3186,-764784709645482594,217314,220014,474,40
3187,2808296110979132647,231911,237511,612,18
3188,1936106864215528001,201665,202865,432,7
3189,6739756813022477738,243838,247738,518,24
3190,2398747476617055252,183621,195621,412,31
3191,4542078252007851227,185249,187549,425,7
3192,154417160241727767,269260,274060,656,26
3193,-4278587586015049127,197400,200900,454,17
3194,-2610876056080899347,143206,145706,387,23
3195,7266398875584464077,297062,302962,678,48
3196,6358798575180877524,194689,198389,430,9
3197,-447945420774111674,237892,241892,715,44
3198,5082184332581271159,190685,193085,541,21
3199,-8512381256690112670,187628,192028,481,24
3200,-7323144104869092292,225395,229395,538,78
3201,-4996442913679110056,203589,206589,463,28
3202,-4904221836312702689,354218,358718,791,37
3203,-6629840612637567943,216357,219857,548,35
3204,5020669084156199974,187906,189906,393,52
3205,2039877065064663988,281451,285851,706,44
3206,-6015610620108147122,212188,215388,534,32
3207,8531108167896128967,287994,293594,643,33
3208,-6115774647958005535,288817,293117,663,40
3209,7081308542237163706,175175,188675,434,14
3210,8938860870369745617,229712,231712,492,14
3211,-1323309953225203381,155691,158591,566,44
3212,-5229974747818035148,225911,229111,532,30
3213,-8475629753331366172,258530,264630,625,27
3214,7172469961294379087,193480,195580,462,60
3215,5390828515426239925,206196,230096,434,32
3216,3125604470947639393,223028,225728,542,73
3217,7031073385395485320,251133,263633,529,44
3218,3709380102748955045,395387,412887,916,54
3219,-6731358658410769904,237387,240587,554,34
3220,-4029882767486989442,307028,311628,703,36
3221,8989091907285156958,192523,195223,452,10
3222,-2310486553636716856,157635,159235,403,39
3223,-8979742232653039806,270527,275427,797,30
3224,-3458424444037005026,193140,195440,453,32
3225,5526776877602192085,160954,162254,381,49
3226,8208131636287605844,314479,319879,739,45
3227,-4958275592283308673,258683,262683,621,18
3228,-6350397966965229882,194106,196206,412,28
3229,5579747819895191499,267547,273147,591,32
3230,-7420560802912855076,139490,141190,429,14
3231,-7412292763649468197,236480,240280,611,27
3232,305851765410081354,257092,260192,571,26
3233,7444984431312308244,248659,252659,632,26
3234,2453422128249348656,258712,264312,598,25
3235,5651032915609669013,192743,195043,433,29
3236,1198518690623404785,252690,256990,687,17
3237,-5812488453534825489,214435,217635,493,28
3238,-6096455612585304393,193081,194481,457,32
3239,-6875304393460890083,291331,295731,646,34
3240,6370526765449267752,215327,219527,522,42
3241,1966808359122422305,133647,135247,355,16
3242,-7722254777871690238,253995,257195,503,31
3243,-1340364084040896276,146841,149141,374,38
3244,-494774561618018062,208309,212009,420,16
3245,-328039120963853947,237488,241588,655,36
3246,4770687231013338689,294164,297764,647,42
3247,2355733168818842850,286182,311082,628,29
3248,-6916577337848385702,237220,241520,538,20
3249,-8785501850335308659,304321,310521,713,55
3250,2516333710528855432,218910,223010,500,21
3251,4718482659809833575,251555,255755,599,36
3252,6139024836951051014,290101,295201,629,12
3253,181837219813612243,312429,318629,777,44
3254,-3719910287315672720,359078,369678,866,83
3255,2631114646904789044,93149,96149,247,26
3256,5949496489420489906,281631,286431,663,34
3257,-6868000647894068703,166518,169618,432,45
3258,-8315405600358343276,245349,249149,577,37
3259,-6770760636212971476,191692,193192,438,46
3260,-5019976203651906627,260695,264795,597,47
3261,3718845505187826473,212635,215835,539,42
3262,-6130751009033133031,147637,150737,574,39
3263,-2533598478598875832,207861,211061,443,42
3264,953018730397435209,155281,157981,444,19
3265,-3328433061675251458,276548,281048,670,53
3266,7558056441535556370,212047,214847,454,39
3267,-4749202331427418681,157061,158761,414,36
3268,1422235401312377190,205596,218696,514,29
3269,-2633639827701142691,279226,283426,634,40
3270,8972458973186267884,203483,205783,487,19
3271,1542188647402087432,216204,219904,533,22
3272,2630054247078556027,387931,395631,877,40
3273,4132216135677224800,290824,295824,710,35
3274,-2181686226714392456,294633,298933,638,21
3275,-4886402200139073645,192601,194401,413,18
3276,5702641974845865806,146730,148230,379,42
3277,4027634900975383130,192266,196066,476,29
3278,-4286126992215500953,242413,246013,573,27
3279,-3886341569588136614,248279,251279,666,26
3280,-5156454164207473715,208910,211610,455,49
3281,2126996250909610466,196988,200388,528,41
3282,-7557988463890787515,237376,241076,489,10
3283,-4786635868463466255,254529,258929,561,25
3284,64039954535150820,264679,271979,678,52
3285,-1735140981221939488,284753,289653,665,26
3286,3861735385210681604,304870,308770,634,29
3287,-5547480258268023012,240061,244361,588,37
3288,-5704501453244803778,211543,214343,455,18
3289,-4188670651302778427,210872,214772,633,31
3290,5168640051396815922,144555,147655,399,51
3291,-3226093409999479417,216011,219711,514,48
3292,-324103918975724789,216622,221322,571,40
3293,5876617243315829449,227443,231243,640,16
3294,8477506061575301318,243849,247149,547,34
3295,7198309275894624381,336185,349885,689,52
3296,-3098099485271198900,301935,305135,693,38
3297,2533390611299749110,127255,127855,321,46
3298,4213614895819279737,222256,226756,594,4
3299,340276581849414833,267199,271399,583,47
3300,3547795566404586227,291564,296564,686,21
3301,-8802907058122565224,311239,317639,702,65
3302,-8240901952758053175,222928,226428,458,34
3303,4997577382427912717,299874,314774,675,30
3304,-5085004708802553836,269735,314635,641,37
3305,-8401435174976216831,302522,307122,703,30
3306,-7919583653930273513,300903,305903,757,13
3307,-4748550027081623857,230879,236679,805,41
3308,2306567900537362172,214768,217368,543,39
3309,8011827211047769597,106609,107409,342,12
3310,8762137214744779129,225120,228720,526,25
3311,3492438501081780082,182159,184859,500,34
3312,-8247174005320520728,230081,233281,564,15
3313,-4094450982385057897,196300,198900,485,55
3314,7672493892893938361,226933,240633,567,52
3315,7899210677719248634,215118,219318,510,42
3316,-8677695765931284646,188212,191412,431,21
3317,1106307861318518535,230510,234610,589,48
3318,-7558522534741357882,273339,278639,590,33
3319,1050427773682657152,209524,212524,468,41
3320,3867070604224336630,197579,199679,509,15
3321,6134797615081331959,234457,237457,504,37
3322,-476869640532530484,271815,275915,596,43
3323,7797023184756970740,236208,238808,582,28
3324,7309640204505244777,217268,220568,488,37
3325,-5833858876734651985,74007,75007,196,26
3326,-3637231591768492113,186161,188761,472,71
3327,4730713959897456418,318954,323254,711,16
3328,-1826749524833449707,268953,272553,584,45
3329,5012486471694954217,337275,342075,793,41
3330,5303163506322583353,161898,163098,436,32
3331,-6627094724125423375,165591,167291,446,38
3332,364375979111688945,304976,339976,659,55
3333,-1322052640036087211,194194,197094,466,39
3334,-7461930803813725862,157819,159919,331,32
3335,3394254305719805322,83603,84203,324,49
3336,5025753188348952233,332881,337881,737,17
3337,7868786538383628799,323272,328772,788,54
3338,6958419174693040319,165151,166651,410,25
3339,-329773696361499688,169309,171209,431,19
3340,6453243737842746230,168565,176165,478,32
3341,1493839396088931472,212710,217210,481,41
3342,3522764256095962181,321057,326557,758,56
3343,742501563295396188,189143,192643,466,8
3344,4754415993066432812,227358,231958,542,21
3345,112565912594881568,228493,231093,576,18
3346,-1716877384022378906,145558,147358,414,29
3347,2949453005726471908,217806,219106,497,57
3348,-5029356608751795948,319549,324549,851,22
3349,-5104030758150928987,200778,202878,517,54
3350,-8282171590110818180,174221,177121,489,24
3351,8519994664825387520,168979,171279,450,32
3352,-8153668408723771591,228504,232904,502,28
3353,-6430819572797771956,240761,242861,488,28
3354,-8615261133165584232,261163,275963,599,57
3355,8369326376877658523,205842,208742,565,52
3356,4949867094548519295,248491,252891,625,11
3357,-2612589772044257824,206424,208924,605,21
3358,-8564103402999521760,216154,218854,492,33
3359,8484676666183939272,145674,146974,428,14
3360,-3352845309430684265,230210,233910,521,53
3361,-6667492173978167671,283548,287548,632,33
3362,234570419586900245,231131,244131,546,42
3363,-4353041579372913216,184064,186964,421,52
3364,-2724909305076558353,304122,306822,629,33
3365,-8449103182366343458,219366,220666,492,39
3366,1543798065444477782,225535,228235,541,19
3367,8360906254342460303,243563,247463,577,32
3368,-8002510494492288409,244102,248502,602,9
3369,-4211010003025343777,232012,234212,425,42
3370,-6852515540089769518,110442,111942,248,11
3371,-8881613003801620398,168068,170068,370,45
3372,1288900217004680744,230352,233552,478,53
3373,8664197778776988769,215329,219229,456,39
3374,7105557934949018440,239534,243634,543,44
3375,-6543516803683233135,242273,245673,590,14
3376,-4769000031088140351,212361,216561,503,46
3377,-1442777558508199042,191915,196115,506,44
3378,6212199624254249894,236085,240285,564,19
3379,-7819867749089379867,304746,314046,834,42
3380,1320279118518264076,281625,287325,722,43
3381,-3695324010382564036,223733,227133,530,32
3382,2001101154328574532,201239,204639,480,12
3383,-6162437553880268049,185317,188517,473,52
3384,-3106602211409605664,339187,345687,789,19
3385,-734347297936985092,226672,231072,541,20
3386,-4362022567996666267,277725,281225,734,44
3387,9150449308209030436,252930,266530,624,30
3388,-6848979530616561953,173390,177090,479,22
3389,-2821734215160012587,190324,194024,575,52
3390,-2734004309936972956,191618,204418,440,68
3391,-7851924459437714869,219616,222616,476,35
3392,-5729765451830077373,225536,228136,521,31
3393,-7414255143250813574,233828,247028,486,29
3394,1071783659218771362,154063,157063,424,26
3395,-1021138781326562673,295554,301054,553,43
3396,5438438408571103431,250099,253699,528,60
3397,-4733840735724047119,228336,240836,519,34
3398,6299505350030712814,208787,212887,551,33
3399,-1388665726303464030,175338,177838,406,0
3400,-6725274900182477539,290521,304921,664,18
3401,-3727991155522639275,280800,284900,613,42
3402,2451056319503604628,377330,383830,838,34
3403,-502615760708975504,120545,122245,319,19
3404,1429548006290872263,138845,140245,304,20
3405,-6733423504390918911,228738,235338,675,39
3406,-4307352093203066710,238139,242239,580,31
3407,-8458393567974247042,226059,229159,565,37
3408,1932065958108653008,251716,262716,511,27
3409,1867290507206856021,238004,241804,550,57
3410,3371563460685945029,227090,230490,530,24
3411,-8545973607348814838,229422,234522,494,38
3412,7436590561512066542,170682,172982,382,15
